"imageID","fileLocation","description","filter","imageUserID","timestamp","location"
1,"files/1_1462281437.jpg","Albertone leo",NULL,1,"2016-05-03 15:17:17",NULL
2,"files/1_1462281453.jpg","Balloons bologna leo",NULL,1,"2016-05-03 15:17:33",NULL
3,"files/1_1462281464.jpg","Baseball leo",NULL,1,"2016-05-03 15:17:44",NULL
4,"files/1_1462281476.jpg","Zarautz leo",NULL,1,"2016-05-03 15:17:56",NULL
5,"files/1_1462281501.jpg","Park Hotel leo",NULL,1,"2016-05-03 15:18:21",NULL
6,"files/2_1462281789.jpg","Crazy times!",NULL,2,"2016-05-03 15:23:09",NULL
7,"files/2_1462281812.jpg","De Hoorn, magical place for an outdoor party.",NULL,2,"2016-05-03 15:23:32",NULL
8,"files/2_1462281841.jpg","On the road",NULL,2,"2016-05-03 15:24:01",NULL
9,"files/2_1462281871.jpg","Will you look at that!",NULL,2,"2016-05-03 15:24:31",NULL
10,"files/2_1462281884.jpg","Great album",NULL,2,"2016-05-03 15:24:44",NULL
11,"files/2_1462281915.jpg","Sun is shining, the weather is sweet.",NULL,2,"2016-05-03 15:25:15",NULL
12,"files/2_1462281929.jpg","Come say hi!",NULL,2,"2016-05-03 15:25:29",NULL
13,"files/2_1462281941.jpg","Happy birthday!",NULL,2,"2016-05-03 15:25:41",NULL
14,"files/2_1462281975.jpg","My best picture. Yet.",NULL,2,"2016-05-03 15:26:15",NULL
15,"files/2_1462282002.jpg","Kid Ink in opdracht voor Wannabes.",NULL,2,"2016-05-03 15:26:42",NULL
16,"files/3_1462626517.jpg","Very nice album by Amenra.",NULL,3,"2016-05-07 15:08:37",NULL
17,"files/1_1462875308.jpg","Road to Tamri surfspot leo",NULL,1,"2016-05-12 14:55:42",NULL
20,"files/1_1463238351.jpg","Team Pouvri Meisportmaand","mayfair",1,"2016-05-16 21:39:47","Bonheiden, BelgiÃ«"
21,"files/1_1463238846.jpg","Islamic ceiling art","Pick your filter",1,"2016-05-14 17:14:06",NULL
25,"files/1_1463241687.jpg","Beautiful sunset session during our surftrip at Taghazout, Morocco.","walden",1,"2016-05-14 18:01:27","Mechelen, BelgiÃ«"
26,"files/1_1463427829.jpg","Chairlift chillin' at Snowjam","xpro2",1,"2016-05-16 21:43:49","Mechelen, BelgiÃ«"
27,"files/1_1463428036.jpg","Drinks and sunset views at Moliets!","Pick your filter",1,"2016-05-16 21:47:16","Mechelen, BelgiÃ«"
